"Quarter","Region","Trust_type","Trust_subtype","Trust_code","Trust_name","Domain","Sub-domain","Metric_ID","Metric_description","Reporting_date","Units","Value","Median_value","Lower_quartile","Upper_quartile","Rank","_demo_source","_synthetic"
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF0005","Percentage of patients waiting over 52 weeks for community services","Jun-25","%",0,0.7,0.01,6.32,1,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q1 2025/26","%",54.31,58,47.93,71.83,26,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF0041","Annual change in the number of children and young people accessing NHS-funded MH services","Jun 24 - Jun 25 vs Jun 23 - Jun 24","percentage points",1.92,4.57,0.59,15.17,30,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF0057","Urgent Community Response 2-hour performance","Q1 2025/26","%",80.08,85.58,80.08,89.48,28,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF0061","NHS Staff survey - raising concerns sub-score","2024","out of 10",6.9,6.81,6.57,6.95,23,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF0063","Percentage of inpatients with >60 day length of stay","Q1 2025/26","%",28.38,24.67,20.67,28.47,35,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0079","Planned surplus/deficit","2025/26","%",2.39,0,0,0,1,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF0081","Variance year-to-date to financial plan","Month 3 2025","%",0.09,0,0,0.04,13,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0082","Sickness absence rate","Q4 2024-25","%",5.21,5.65,5.01,6.26,21,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF0084","NHS staff survey engagement theme sub-score ","2024","out of 10",7.19,7.08,6.95,7.21,24,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Productivity","OF0086","Relative difference in costs","2023/24","%",109.98,105.39,94.24,112.62,40,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Elective care","OF1005","Percentage of patients waiting over 52 weeks for community services","Jun-25","score",1,NA,NA,NA,1,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF1016","Percentage of patients in mental health crisis to receive face-to-face contact within 24 hours","Q1 2025/26","score",2.67,NA,NA,NA,26,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Patient experience","OF1035","CQC community mental health survey satisfaction rate","2024","score",2,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Mental health care","OF1041","Annual change in the number of children and young people accessing NHS-funded MH services","Jun 24 - Jun 25 vs Jun 23 - Jun 24","score",2.97,NA,NA,NA,30,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective out of hospital care","OF1057","Urgent Community Response 2-hour performance","Q1 2025/26","score",2.54,NA,NA,NA,28,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF1061","NHS Staff survey - raising concerns sub-score","2024","score",2.1,NA,NA,NA,23,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Effectiveness and experience","Effective flow and discharge","OF1063","Percentage of inpatients with >60 day length of stay","Q1 2025/26","score",3.17,NA,NA,NA,35,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1079","Planned surplus/deficit","2025/26","score",1,NA,NA,NA,1,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1080","Combined finance","Q1 2025/26","score",1,NA,NA,NA,NA,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Finance","OF1081","Variance year-to-date to financial plan","Month 3 2025","score",1,NA,NA,NA,13,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF1082","Sickness absence rate","Q4 2024-25","score",2.28,NA,NA,NA,21,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","People and workforce","Retention and culture","OF1084","NHS staff survey engagement theme sub-score ","2024","score",2.15,NA,NA,NA,24,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Finance and productivity","Productivity","OF1086","Relative difference in costs","2023/24","score",3,NA,NA,NA,40,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Access to services","Access to services domain score","OF4000","Access to services domain score","Q1 2025/26","score",1.99,NA,NA,NA,14,"nof_mh_community",FALSE
"Q1 2025/26","South West","Mental health and community trust","Mental Health and Learning Disability","RDY","Dorset Healthcare University NHS Foundation Trust","Patient safety","Patient safety","OF4002","Patient safety domain score","Q1 2025/26","score",2.39,NA,NA,NA,30,"nof_mh_community",FALSE
